script_name,dass_status,formulas_found,dass_terms,notes
exgaussian_rt_analysis.py,UNCLEAR (No formulas found),0,"dass_anxiety, dass_depression, dass_stress, z_dass_anx, z_dass_dep","No regression formulas detected, manual review needed"
cross_task_integration.py,UNCLEAR (No formulas found),0,None,"No regression formulas detected, manual review needed"
reliability_corrected_analysis.py,UNCLEAR (No formulas found),0,None,"No regression formulas detected, manual review needed"
power_reliability_adjusted.py,UNCLEAR (No formulas found),0,None,"No regression formulas detected, manual review needed"
post_error_slowing_gender_moderation.py,UNCLEAR (No formulas found),0,dass_total,"No regression formulas detected, manual review needed"
rfe_feature_selection.py,UNCLEAR (No formulas found),0,"z_dass_anx, z_dass_dep","No regression formulas detected, manual review needed"
rope_loo_summary.py,UNCLEAR (No formulas found),0,"dass_anx, dass_dep, dass_stress, z_dass_anx, z_dass_dep","No regression formulas detected, manual review needed"
reliability_enhancement_composites.py,UNCLEAR (No formulas found),0,None,"No regression formulas detected, manual review needed"
remaining_hypotheses_verification_corrected.py,UNCLEAR (No formulas found),0,"dass_anxiety, dass_depression, dass_stress","No regression formulas detected, manual review needed"
prp_comprehensive_dass_controlled.py,UNCLEAR (No formulas found),0,"dass_anxiety, dass_depression, dass_stress","No regression formulas detected, manual review needed"
prp_exgaussian_decomposition.py,UNCLEAR (No formulas found),0,"dass_anxiety, dass_depression, dass_stress","No regression formulas detected, manual review needed"
prp_rt_variability_extended.py,UNCLEAR (No formulas found),0,"dass_anxiety, dass_depression, dass_stress","No regression formulas detected, manual review needed"
statistical_methodological_suite.py,UNCLEAR (No formulas found),0,None,"No regression formulas detected, manual review needed"
stroop_rt_variability_extended.py,UNCLEAR (No formulas found),0,"dass_anxiety, dass_depression, dass_stress","No regression formulas detected, manual review needed"
stroop_exgaussian_decomposition.py,UNCLEAR (No formulas found),0,"dass_anxiety, dass_depression, dass_stress","No regression formulas detected, manual review needed"
tree_ensemble_exploration.py,UNCLEAR (No formulas found),0,"z_dass_anx, z_dass_dep","No regression formulas detected, manual review needed"
trial_level_bayesian.py,UNCLEAR (No formulas found),0,"dass_anx, dass_dep, dass_stress, z_dass_anx, z_dass_dep","No regression formulas detected, manual review needed"
wcst_mechanism_comprehensive.py,UNCLEAR (No formulas found),0,"dass_anxiety, dass_depression, dass_stress, dass_total","No regression formulas detected, manual review needed"
wcst_post_error_adaptation_quick.py,UNCLEAR (No formulas found),0,None,"No regression formulas detected, manual review needed"
wcst_switching_dynamics_quick.py,UNCLEAR (No formulas found),0,None,"No regression formulas detected, manual review needed"
trial_level_mvpa_vulnerability.py,UNCLEAR,0,None,Manual review needed
